z,vel
911.6,1653.1274807672
912.6,1653.2958060661624
913.6,1653.4373059055708
914.6,1653.565797817587
915.6,1653.7326983055013
916.6,1653.8979677738082
917.6,1654.0620092494394
918.6,1654.2290196353042
919.6,1654.4077788266516
920.6,1654.571508064183
921.6,1654.713292730667
922.6,1654.8784656327864
923.6,1655.0471759655322
924.6,1655.2201636580292
925.6,1655.3888840858597
926.6,1655.5476270274148
927.6,1655.6766319601518
928.6,1655.7950100612697
929.6,1655.9270154769104
930.6,1656.0994624921107
931.6,1656.2477989338272
932.6,1656.369741943291
933.7,1656.4967789840946
934.6,1656.6418640195989
935.6,1656.7595489775535
936.6,1656.8220194351
937.7,1656.9673824969836
938.6,1657.1239679858595
939.6,1657.265323192626
940.6,1657.4115839207848
941.6,1657.5941903699354
942.6,1657.7705315358119
943.6,1657.9497204639351
944.6,1658.1311539047383
945.6,1658.3031836594332
946.6,1658.4673976019787
947.6,1658.639327381972
948.6,1658.8144040172667
949.6,1658.9870520855116
950.7,1659.1704842284616
951.6,1659.3470332338518
952.5,1659.5186841892753
953.6,1659.709734088978
954.6,1659.723404047343
955.6,1659.5815422431176
956.7,1659.7053464479177
957.6,1659.8198673180245
958.6,1659.6161821522837
959.6,1659.120045215975
960.6,1659.2891573947181
961.6,1659.6594767236056
962.6,1659.8922120507514
963.6,1660.0970811312393
964.6,1660.420232562097
965.6,1660.7036144102774
966.6,1660.9041059070714
967.6,1661.159672030958
968.6,1661.3824340783185
969.6,1661.5560599422158
970.6,1661.7337843456157
971.6,1661.9035608741908
972.6,1662.0499528280068
973.6,1662.1804461170307
974.6,1662.3178280134093
975.6,1662.4649424467718
976.6,1662.623081127341
977.6,1662.7722097561561
978.5,1662.880832429155
979.6,1663.0181740490789
980.6,1663.1387877406455
981.6,1663.289015534943
982.7,1663.2200197663842
983.6,1663.0904452409886
984.6,1663.153180968619
985.7,1663.3063037952709
986.6,1663.3701390854474
987.6,1663.4815176382513
988.6,1663.65191229611
989.6,1663.8331783014285
990.7,1664.0253699592913
991.7,1664.1932554837724
992.6,1664.3299189369222
993.7,1664.4741446772916
994.7,1664.5727197584188
995.6,1664.7158291635785
996.6,1664.8650161235405
997.6,1664.9728091179588
998.6,1665.0550706187478
999.6,1665.2078084492405
1000.6,1665.3713234950699
1001.6,1665.5861005662548
1002.6,1666.1925437337045
1003.6,1666.544793031425
1004.6,1667.0388188953652
1005.6,1667.286534912664
1006.6,1667.4869655379769
1007.6,1667.8649295824873
1008.6,1668.2462556940914
1009.7,1668.4972720001908
1010.6,1668.7793235826593
1011.7,1669.039014681565
1012.6,1669.2188110642212
1013.5,1669.4096001742168
1014.6,1669.6390502280187
1015.6,1669.8869974724619
1016.6,1670.0865789613745
1017.6,1670.2587606691745
1018.6,1670.4494291586625
1019.6,1670.6200367860645
1020.6,1670.804337883398
1021.6,1670.9849807687378
1022.6,1671.1493601125987
1023.6,1671.319173567704
1024.6,1671.4757453991629
1025.6,1671.637828255815
1026.7,1671.8184138382535
1027.6,1671.964633055523
1028.6,1672.130720090143
1029.6,1672.289699108226
1030.6,1672.450120413128
1031.6,1672.6226014676638
1032.6,1672.7718749856347
1033.6,1672.9284983434363
1034.6,1673.0845840090485
1035.6,1673.2085605869834
1036.6,1673.340442201859
1037.6,1673.4827418937614
1038.6,1673.64653439147
1039.6,1673.8124317210409
1040.6,1673.9742105026585
1041.7,1674.117480788324
1042.6,1674.226471451126
1043.6,1674.3663586544565
1044.6,1674.4663701191025
1045.6,1674.6083311309324
1046.6,1674.7216763154127
1047.6,1674.741970021845
1048.6,1674.948553113396
1049.6,1675.0779991730958
1050.6,1675.0217535683166
1051.6,1674.8883429058392
1052.6,1674.8616531684681
1053.6,1674.8713500231077
1054.6,1675.004654599517
1055.6,1675.1757133217502
1056.7,1675.4252105855633
1057.6,1675.6096067858932
1058.6,1675.7902663453951
1059.5,1675.8712943609487
1060.6,1676.0375777463573
1061.6,1676.1132477296035
1062.6,1676.2000575362779
1063.6,1676.3100601158676
1064.6,1676.3889202028984
1065.6,1676.5085057411875
1066.6,1676.6482557737143
1067.7,1676.8216038718904
1068.6,1676.9531655277958
1069.6,1677.097746593556
1070.6,1677.2232185634998
1071.6,1677.3552960718375
1072.6,1677.5230691858262
1073.7,1677.7114217709725
1074.7,1677.823007320107
1075.6,1677.9215817953996
1076.6,1678.1539360350089
1077.6,1678.4935504359185
1078.6,1678.693127460791
1079.6,1678.8587008417123
1080.6,1679.3430367008207
1081.6,1679.6078074517711
1082.6,1679.7651014225019
1083.6,1679.9950004114048
1084.7,1680.370570911354
1085.6,1680.6156106022659
1086.6,1680.7760963143005
1087.6,1681.0201756004938
1088.6,1681.361089837772
1089.6,1681.61026476865
